"indicator_id","geo_type_id","geo_entity_id","year_id","data_value","unreliability_flag"
370,17,209,35,1.5,0
370,17,210,35,1.3,0
370,17,211,35,1.4,0
370,17,212,35,1.3,0
370,17,301,35,1.5,0
370,17,302,35,1.3,0
370,17,303,35,1.2,0
370,17,304,35,1.2,0
370,17,305,35,1.1,0
370,17,306,35,1.3,0
370,17,307,35,1.2,0
370,17,308,35,1.3,0
370,17,309,35,1.3,0
370,17,310,35,1.1,0
370,17,311,35,1.0,0
370,17,312,35,1.1,0
370,17,313,35,0.9,0
370,17,314,35,1.2,0
370,17,315,35,0.9,0
370,17,316,35,1.1,0
370,17,317,35,1.2,0
370,17,318,35,1.0,0
370,17,401,35,1.3,0
370,17,402,35,1.5,0
370,17,403,35,1.4,0
370,17,404,35,1.3,0
370,17,405,35,1.2,0
370,17,406,35,1.2,0
370,17,407,35,1.2,0
370,17,408,35,1.1,0
370,17,409,35,1.0,0
370,17,410,35,1.0,0
370,17,411,35,1.1,0
370,17,412,35,1.1,0
370,17,413,35,1.1,0
370,17,414,35,1.0,0
370,17,501,35,1.0,0
370,17,502,35,1.0,0
370,17,503,35,0.9,0
373,17,101,35,1.3,0
373,17,102,35,1.3,0
373,17,103,35,1.3,0
373,17,104,35,1.4,0
373,17,105,35,1.7,0
373,17,106,35,1.3,0
373,17,107,35,1.2,0
373,17,108,35,1.3,0
373,17,109,35,1.2,0
373,17,110,35,1.3,0
373,17,111,35,1.3,0
373,17,112,35,1.3,0
373,17,201,35,1.3,0
373,17,202,35,1.7,0
373,17,203,35,1.6,0
373,17,204,35,1.6,0
373,17,205,35,1.7,0
373,17,206,35,1.6,0
373,17,207,35,1.4,0
373,17,208,35,0.9,0
373,17,209,35,1.2,0
373,17,210,35,1.0,0
373,17,211,35,1.2,0
373,17,212,35,1.2,0
373,17,301,35,1.3,0
373,17,302,35,1.2,0
373,17,303,35,1.1,0
373,17,304,35,1.2,0
373,17,305,35,1.0,0
373,17,306,35,1.0,0
373,17,307,35,1.0,0
373,17,308,35,1.2,0
373,17,309,35,1.2,0
373,17,310,35,1.0,0
373,17,311,35,0.9,0
373,17,312,35,1.0,0
373,17,313,35,0.8,0
373,17,314,35,1.0,0
373,17,315,35,0.9,0
373,17,316,35,1.1,0
373,17,317,35,1.1,0
373,17,318,35,0.9,0
373,17,401,35,1.2,0
373,17,402,35,1.2,0
373,17,403,35,1.2,0
373,17,404,35,1.2,0
373,17,405,35,1.1,0
373,17,406,35,1.0,0
373,17,407,35,1.0,0
373,17,408,35,1.0,0
373,17,409,35,1.0,0
373,17,410,35,0.9,0
373,17,411,35,1.0,0
373,17,412,35,1.0,0
373,17,413,35,1.0,0
373,17,414,35,0.9,0
373,17,501,35,0.9,0
373,17,502,35,0.8,0
373,17,503,35,0.8,0
374,17,101,35,1.7,0
374,17,102,35,1.8,0
374,17,103,35,1.8,0
374,17,104,35,2.2,0
374,17,105,35,2.3,0
374,17,106,35,1.8,0
374,17,107,35,1.7,0
374,17,108,35,2.1,0
374,17,109,35,1.8,0
374,17,110,35,1.7,0
374,17,111,35,1.4,0
374,17,112,35,2.1,0
374,17,201,35,1.6,0
374,17,202,35,1.9,0
374,17,203,35,1.8,0
374,17,204,35,1.9,0
374,17,205,35,2.0,0
374,17,206,35,1.9,0
374,17,207,35,1.8,0
374,17,208,35,1.4,0
374,17,209,35,1.8,0
374,17,210,35,1.5,0
374,17,211,35,1.5,0
374,17,212,35,1.4,0
374,17,301,35,1.6,0
374,17,302,35,1.5,0
374,17,303,35,1.3,0
374,17,304,35,1.3,0
374,17,305,35,1.2,0
374,17,306,35,1.4,0
374,17,307,35,1.3,0
374,17,308,35,1.5,0
374,17,309,35,1.4,0
374,17,310,35,1.3,0
374,17,311,35,1.1,0
374,17,312,35,1.2,0
374,17,313,35,0.9,0
374,17,314,35,1.4,0
374,17,315,35,1.0,0
374,17,316,35,1.2,0
374,17,317,35,1.3,0
374,17,318,35,1.1,0
374,17,401,35,1.5,0
374,17,402,35,1.7,0
374,17,403,35,1.6,0
374,17,404,35,1.4,0
374,17,405,35,1.4,0
374,17,406,35,1.3,0
374,17,407,35,1.3,0
374,17,408,35,1.2,0
374,17,409,35,1.2,0
374,17,410,35,1.1,0
374,17,411,35,1.2,0
374,17,412,35,1.2,0
374,17,413,35,1.1,0
374,17,414,35,1.0,0
374,17,501,35,1.2,0
374,17,502,35,1.1,0
374,17,503,35,1.0,0
375,17,101,35,38.7,0
375,17,102,35,36.2,0
375,17,103,35,35.4,0
375,17,104,35,37.2,0
375,17,105,35,46.8,0
375,17,106,35,41.6,0
375,17,107,35,33.5,0
375,17,108,35,36.8,0
375,17,109,35,33.6,0
375,17,110,35,34.4,0
375,17,111,35,33.4,0
375,17,112,35,34.3,0
375,17,201,35,32.5,0
375,17,202,35,31.9,0
375,17,203,35,33.2,0
375,17,204,35,34.7,0
375,17,205,35,34.6,0
375,17,206,35,32.2,0
375,17,207,35,31.1,0
375,17,208,35,27.8,0
375,17,209,35,30.8,0
375,17,210,35,26.3,0
375,17,211,35,28.2,0
375,17,212,35,25.9,0
375,17,301,35,33.0,0
375,17,302,35,33.1,0
375,17,303,35,33.4,0
375,17,304,35,32.6,0
375,17,305,35,29.7,0
375,17,306,35,31.5,0
375,17,307,35,30.7,0
375,17,308,35,33.1,0
375,17,309,35,32.2,0
375,17,310,35,29.3,0
375,17,311,35,28.4,0
375,17,312,35,29.9,0
375,17,313,35,26.5,0
375,17,314,35,29.7,0
375,17,315,35,26.1,0
375,17,316,35,31.8,0
375,17,317,35,30.6,0
375,17,318,35,26.7,0
375,17,401,35,30.5,0
375,17,402,35,32.4,0
375,17,403,35,30.7,0
375,17,404,35,31.2,0
375,17,405,35,30.6,0
375,17,406,35,29.9,0
375,17,407,35,25.6,0
375,17,408,35,27.6,0
375,17,409,35,28.5,0
375,17,410,35,27.7,0
375,17,411,35,25.1,0
375,17,412,35,28.8,0
375,17,413,35,26.8,0
375,17,414,35,24.0,0
375,17,501,35,24.3,0
375,17,502,35,22.2,0
375,17,503,35,21.6,0
378,17,101,35,36.7,0
378,17,102,35,33.0,0
378,17,103,35,33.6,0
378,17,104,35,32.5,0
378,17,105,35,42.5,0
378,17,106,35,36.9,0
378,17,107,35,32.7,0
378,17,108,35,33.6,0
378,17,109,35,32.8,0
378,17,110,35,33.7,0
378,17,111,35,32.4,0
378,17,112,35,30.7,0
378,17,201,35,31.5,0
378,17,202,35,30.1,0
378,17,203,35,32.5,0
378,17,204,35,33.8,0
378,17,205,35,33.4,0
378,17,206,35,30.7,0
378,17,207,35,28.8,0
378,17,208,35,25.1,0
378,17,209,35,28.1,0
378,17,210,35,23.3,0
378,17,211,35,26.1,0
378,17,212,35,24.3,0
378,17,301,35,31.5,0
378,17,302,35,31.7,0
378,17,303,35,32.8,0
378,17,304,35,31.2,0
378,17,305,35,27.8,0
378,17,306,35,29.2,0
378,17,307,35,29.1,0
378,17,308,35,32.5,0
378,17,309,35,31.5,0
378,17,310,35,27.7,0
378,17,311,35,27.7,0
378,17,312,35,28.2,0
378,17,313,35,25.6,0
378,17,314,35,28.0,0
378,17,315,35,24.0,0
378,17,316,35,30.8,0
378,17,317,35,29.3,0
378,17,318,35,23.5,0
378,17,401,35,28.7,0
378,17,402,35,31.2,0
378,17,403,35,29.1,0
378,17,404,35,29.1,0
378,17,405,35,29.0,0
378,17,406,35,28.5,0
378,17,407,35,24.3,0
378,17,408,35,26.2,0
378,17,409,35,27.8,0
378,17,410,35,26.3,0
378,17,411,35,24.0,0
378,17,412,35,28.0,0
378,17,413,35,25.1,0
378,17,414,35,22.4,0
378,17,501,35,23.0,0
378,17,502,35,21.0,0
378,17,503,35,21.0,0
379,17,101,35,40.5,0
379,17,102,35,38.4,0
379,17,103,35,37.7,0
379,17,104,35,42.7,0
379,17,105,35,50.5,0
379,17,106,35,46.4,0
379,17,107,35,34.3,0
379,17,108,35,40.8,0
379,17,109,35,34.3,0
379,17,110,35,35.1,0
379,17,111,35,34.3,0
379,17,112,35,37.1,0
379,17,201,35,33.5,0
379,17,202,35,33.9,0
379,17,203,35,33.9,0
379,17,204,35,35.8,0
379,17,205,35,36.1,0
379,17,206,35,33.5,0
379,17,207,35,33.3,0
379,17,208,35,30.8,0
379,17,209,35,33.1,0
379,17,210,35,28.2,0
379,17,211,35,30.3,0
379,17,212,35,27.6,0
379,17,301,35,34.5,0
379,17,302,35,34.3,0
379,17,303,35,33.9,0
379,17,304,35,33.5,0
379,17,305,35,31.1,0
379,17,306,35,32.8,0
379,17,307,35,32.2,0
379,17,308,35,33.7,0
379,17,309,35,32.9,0
379,17,310,35,30.9,0
379,17,311,35,29.0,0
379,17,312,35,31.0,0
379,17,313,35,27.6,0
379,17,314,35,31.4,0
379,17,315,35,27.6,0
379,17,316,35,32.6,0
379,17,317,35,32.0,0
379,17,318,35,28.9,0
379,17,401,35,31.7,0
379,17,402,35,33.7,0
379,17,403,35,32.4,0
379,17,404,35,32.6,0
379,17,405,35,32.3,0
379,17,406,35,31.9,0
379,17,407,35,27.1,0
379,17,408,35,29.2,0
379,17,409,35,29.4,0
379,17,410,35,28.9,0
379,17,411,35,26.3,0
379,17,412,35,29.9,0
379,17,413,35,28.1,0
379,17,414,35,25.6,0
379,17,501,35,26.0,0
379,17,502,35,23.4,0
379,17,503,35,22.3,0
383,17,101,35,4.6,0
383,17,102,35,7.8,0
383,17,103,35,6.3,0
383,17,104,35,6.1,0
383,17,105,35,9.5,0
383,17,106,35,8.7,0
383,17,107,35,9.5,0
383,17,108,35,11.0,0
383,17,109,35,8.0,0
383,17,110,35,7.6,0
383,17,111,35,7.1,0
383,17,112,35,10.1,0
383,17,201,35,5.7,0
383,17,202,35,5.3,0
383,17,203,35,7.0,0
383,17,204,35,9.1,0
383,17,205,35,11.7,0
383,17,206,35,8.6,0
383,17,207,35,10.7,0
383,17,208,35,5.9,0
383,17,209,35,5.7,0
383,17,210,35,3.8,0
383,17,211,35,6.6,0
383,17,212,35,5.4,0
383,17,301,35,4.8,0
383,17,302,35,4.4,0
383,17,303,35,5.0,0
383,17,304,35,5.1,0
383,17,305,35,3.9,0
383,17,306,35,4.0,0
383,17,307,35,4.1,0
383,17,308,35,5.2,0
383,17,309,35,5.6,0
383,17,310,35,4.3,0
383,17,311,35,4.6,0
383,17,312,35,5.4,0
383,17,313,35,3.6,0
383,17,314,35,5.8,0
383,17,315,35,4.0,0
383,17,316,35,4.8,0
383,17,317,35,5.2,0
383,17,318,35,3.8,0
383,17,401,35,5.4,0
383,17,402,35,5.4,0
383,17,403,35,5.3,0
383,17,404,35,5.7,0
383,17,405,35,4.2,0
383,17,406,35,5.1,0
383,17,407,35,3.9,0
383,17,408,35,4.1,0
383,17,409,35,4.4,0
383,17,410,35,3.6,0
383,17,411,35,3.6,0
383,17,412,35,3.8,0
383,17,413,35,3.4,0
383,17,414,35,3.5,0
383,17,501,35,3.2,0
383,17,502,35,2.8,0
