"indicator_id","geo_type_id","geo_entity_id","year_id","data_value","unreliability_flag"
365,17,101,36,14.0,0
365,17,102,36,13.6,0
365,17,103,36,12.6,0
365,17,104,36,13.7,0
365,17,105,36,15.4,0
365,17,106,36,13.9,0
365,17,107,36,12.2,0
365,17,108,36,12.7,0
365,17,109,36,11.8,0
365,17,110,36,12.0,0
365,17,111,36,12.3,0
365,17,112,36,11.9,0
365,17,201,36,12.2,0
365,17,202,36,12.1,0
365,17,203,36,11.7,0
365,17,204,36,12.2,0
365,17,205,36,12.1,0
365,17,206,36,11.7,0
365,17,207,36,11.4,0
365,17,208,36,10.6,0
365,17,209,36,11.8,0
365,17,210,36,11.3,0
365,17,211,36,11.1,0
365,17,212,36,10.7,0
365,17,301,36,12.2,0
365,17,302,36,12.0,0
365,17,303,36,11.4,0
365,17,304,36,11.4,0
365,17,305,36,11.1,0
365,17,306,36,11.5,0
365,17,307,36,11.4,0
365,17,308,36,11.3,0
365,17,309,36,11.4,0
365,17,310,36,11.2,0
365,17,311,36,11.1,0
365,17,312,36,11.2,0
365,17,313,36,10.9,0
365,17,314,36,11.0,0
365,17,315,36,10.8,0
365,17,316,36,11.5,0
365,17,317,36,11.4,0
365,17,318,36,10.7,0
365,17,401,36,11.4,0
365,17,402,36,12.1,0
365,17,403,36,11.3,0
365,17,404,36,11.3,0
365,17,405,36,11.2,0
365,17,406,36,10.9,0
365,17,407,36,10.8,0
365,17,408,36,10.5,0
365,17,409,36,10.8,0
365,17,410,36,10.8,0
365,17,411,36,10.4,0
365,17,412,36,10.7,0
365,17,413,36,10.5,0
365,17,414,36,10.5,0
365,17,501,36,11.0,0
365,17,502,36,10.6,0
365,17,503,36,10.5,0
368,17,101,36,13.3,0
368,17,102,36,12.9,0
368,17,103,36,11.8,0
368,17,104,36,12.8,0
368,17,105,36,14.4,0
368,17,106,36,12.4,0
368,17,107,36,11.8,0
368,17,108,36,11.9,0
368,17,109,36,11.6,0
368,17,110,36,11.7,0
368,17,111,36,12.0,0
368,17,112,36,11.0,0
368,17,201,36,11.9,0
368,17,202,36,11.3,0
368,17,203,36,11.4,0
368,17,204,36,11.9,0
368,17,205,36,11.8,0
368,17,206,36,11.0,0
368,17,207,36,10.9,0
368,17,208,36,9.8,0
368,17,209,36,10.9,0
368,17,210,36,10.6,0
368,17,211,36,10.8,0
368,17,212,36,10.2,0
368,17,301,36,11.7,0
368,17,302,36,11.5,0
368,17,303,36,11.2,0
368,17,304,36,11.2,0
368,17,305,36,10.6,0
368,17,306,36,11.0,0
368,17,307,36,10.1,0
368,17,308,36,11.0,0
368,17,309,36,11.2,0
368,17,310,36,10.7,0
368,17,311,36,11.0,0
368,17,312,36,10.9,0
